Model,MAE,RMSE,R2
Gradient Boosting Regressor,265.36504253020956,358.2044583516606,0.5267767168130348
Linear Regression,270.1420850089096,359.0528936784566,0.5245323291015918
Random Forest,273.295323085,366.93409162921523,0.5034302521995281
